"Program","Luminex 100 IS"
"Build","2.3"
"Date","10/29/2010","11:06:38 AM"

"SN","LX10008127404"
"Session","CSFVacTestP6~6.5_10292010"
"Operator","Teresa Waligorska"
"TemplateID","1"
"TemplateName","Template,11/19/2008,10:00"
"TemplateVersion","1"
"TemplateDescription","CSF biomarkers 7sts"
"TemplateDevelopingCompany","UPenn"
"TemplateAuthor","MargaretKnapik-Czajka"
"SampleVolume","50 uL"
"DDGate","7500 to 15000"
"SampleTimeout","80 sec"
"BatchAuthor","Teresa Waligorska"
"BatchStartTime","10/29/2010 10:31:56 AM"
"BatchStopTime","10/29/2010 11:04:40 AM"
"BatchDescription","<None>"
"BatchComment",""
"CALInfo:"
"ProductName","ProductNo","LotName","ExpirationDate","CalibrationTime","BoardTemp","DDTemp","CL1Temp","CL2Temp","Pressure","DDVolts","CL1Volts","CL2Volts","RP1Volts","DDRVal","CL1RVal","CL2RVal","Passed","MachineSerialNo"
"Classification Calibrator","L100-CAL1","B15184","12/16/2011 11:59:59 PM","10/11/2010 11:29:12 AM","25.6944444444444","25.26","25.04","24.39","6.8","70.3","99.76","103.56","-1","422","921","1044","True","LX10008127404"
"Reporter Calibrator","L100-CAL2","B15185","12/16/2011 11:59:59 PM","10/11/2010 11:30:31 AM","25.9114583333333","-1","-1","-1","6.8","-1","-1","-1","558.5","-1","0","-1","True","LX10008127404"
"CONInfo:"
"ProductName","ProductNo","LotName","ExpirationDate","VerificationTime","GatedBeads","MachineSerialNo","Passed"
"Classification Control","L100-CON1","B15567","1/16/2012 11:59:59 PM","10/11/2010 11:33:05 AM","5366","LX10008127404","True"
"Reporter Control","L100-CON2","B15113","12/11/2011 11:59:59 PM","10/11/2010 11:34:10 AM","4309","LX10008127404","True"
"AssayLotInfo:"
"ManufacturerName","ProductName","ProductNo","ProductType","LotName","ExpirationDate"
"INNX","Inno-BIA AlzBio3","80584","Assay Standard","207751","5/31/2012 11:59:59 PM"
"INNX","Inno-BIA AlzBio3","80584","Assay Control","207751","5/31/2012 11:59:59 PM"




"Samples","48","Min Events","0"

"Results"

"DataType:","Median"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","11","9.5","3","365",""
"2 (B1)","St1","20492.5","11280","20390","322",""
"3 (C1)","St2","14921","5880","13512","344",""
"4 (D1)","St3","9439.5","2072","6046","333",""
"5 (E1)","St4","5677","563.5","1659","316",""
"6 (F1)","St5","2745.5","151","465","364",""
"7 (G1)","St6","1445.5","46.5","99","306",""
"8 (H1)","St7","222.5","14","16","333",""
"9 (A2)","Background","12","10","3","385",""
"10 (B2)","St1","19465","10007","21275","332",""
"11 (C2)","St2","13989.5","5576.5","13220","324",""
"12 (D2)","St3","9212","1774","5644","340",""
"13 (E2)","St4","5161","544","1757","388",""
"14 (F2)","St5","2516","154","447.5","367",""
"15 (G2)","St6","1473","47","104","333",""
"16 (H2)","St7","224","15","18","388",""
"17 (A3)","ConA","3997","185","1014.5","372",""
"18 (B3)","ConB","1869","870","4267","335",""
"19 (C3)","3507","14496.5","1180.5","522","349",""
"20 (D3)","3512","1698.5","299","466","326",""
"21 (E3)","3509","3647","4190.5","11336.5","340",""
"22 (F3)","A-1","4163","182.5","332.5","377",""
"23 (G3)","A-2","3789","180","413","367",""
"24 (H3)","QC-L-1","4157","91","359.5","368",""
"25 (A4)","ConA","4002.5","189","936","309",""
"26 (B4)","ConB","1858.5","751","3362","358",""
"27 (C4)","3507","13624","900","530","368",""
"28 (D4)","3512","1689.5","267","455.5","309",""
"29 (E4)","3509","3317.5","3606","10392","362",""
"30 (F4)","A-1","3708","159.5","354.5","362",""
"31 (G4)","A-2","3814.5","146","355","355",""
"32 (H4)","QC-L-1","3935","89","391.5","354",""
"33 (A5)","QC-L-2","3855","82","396.5","316",""
"34 (B5)","45-1","1501.5","242.5","2389","358",""
"35 (C5)","45-2","1623","263.5","2764","343",""
"36 (D5)","48-1","4233.5","132","1894.5","373",""
"37 (E5)","48-2","4122","131.5","1679.5","330",""
"38 (F5)","52-1","4113.5","47","229","348",""
"39 (G5)","52-2","3776","52","224","384",""
"40 (H5)","background","10","9","3","356",""
